     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21251222        0.21899132        0.21899132        0.21899132
         2.0        0.17884178        0.18936609        0.18936609        0.18936609
         3.0        0.15066705        0.16221914        0.16221914        0.16221914
         4.0        0.12774360        0.13819660        0.13819660        0.13819660
         5.0        0.10912452        0.11750026        0.11750026        0.11750026
         6.0        0.09387908        0.10000000        0.10000000        0.10000000
         7.0        0.08127884        0.08537385        0.08537385        0.08537385
         8.0        0.07078071        0.07322330        0.07322330        0.07322330
         9.0        0.06197613        0.06314767        0.06314767        0.06314767
        10.0        0.05455031        0.05478280        0.05478280        0.05478280
        11.0        0.04825534        0.04781598        0.04781598        0.04781598
        12.0        0.04289314        0.04198743        0.04198743        0.04198743
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21673903        0.21714190        0.21714190        0.21714190
         2.0        0.18309693        0.18592318        0.18592318        0.18592318
         3.0        0.14993694        0.15760357        0.15760357        0.15760357
         4.0        0.11936148        0.13286968        0.13286968        0.13286968
         5.0        0.09338283        0.11186697        0.11186697        0.11186697
         6.0        0.07276909        0.09436425        0.09436425        0.09436425
         7.0        0.05708739        0.07993582        0.07993582        0.07993582
         8.0        0.04536547        0.06809828        0.06809828        0.06809828
         9.0        0.03660917        0.05839013        0.05839013        0.05839013
        10.0        0.03000901        0.05040764        0.05040764        0.05040764
        11.0        0.02496581        0.04381442        0.04381442        0.04381442
        12.0        0.02105297        0.03833780        0.03833780        0.03833780
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21251222        0.21899132        0.21899132        0.21899132
         2.0        0.17884178        0.18936609        0.18936609        0.18936609
         3.0        0.15066705        0.16221914        0.16221914        0.16221914
         4.0        0.12774360        0.13819660        0.13819660        0.13819660
         5.0        0.10912452        0.11750026        0.11750026        0.11750026
         6.0        0.09387908        0.10000000        0.10000000        0.10000000
         7.0        0.08127884        0.08537385        0.08537385        0.08537385
         8.0        0.07078071        0.07322330        0.07322330        0.07322330
         9.0        0.06197613        0.06314767        0.06314767        0.06314767
        10.0        0.05455031        0.05478280        0.05478280        0.05478280
        11.0        0.04825534        0.04781598        0.04781598        0.04781598
        12.0        0.04289314        0.04198743        0.04198743        0.04198743
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21673903        0.21714190        0.21714190        0.21714190
         2.0        0.18309693        0.18592318        0.18592318        0.18592318
         3.0        0.14993694        0.15760357        0.15760357        0.15760357
         4.0        0.11936148        0.13286968        0.13286968        0.13286968
         5.0        0.09338283        0.11186697        0.11186697        0.11186697
         6.0        0.07276909        0.09436425        0.09436425        0.09436425
         7.0        0.05708739        0.07993582        0.07993582        0.07993582
         8.0        0.04536547        0.06809828        0.06809828        0.06809828
         9.0        0.03660917        0.05839013        0.05839013        0.05839013
        10.0        0.03000901        0.05040764        0.05040764        0.05040764
        11.0        0.02496581        0.04381442        0.04381442        0.04381442
        12.0        0.02105297        0.03833780        0.03833780        0.03833780
