     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -2.00000000       -2.00000000       -2.00000000       -2.00000000
         1.0       -1.76892585       -1.76556444       -1.76556444       -1.76556444
         2.0       -1.57367498       -1.56155281       -1.56155281       -1.56155281
         3.0       -1.40938789       -1.38600094       -1.38600094       -1.38600094
         4.0       -1.27058372       -1.23606798       -1.23606798       -1.23606798
         5.0       -1.15246673       -1.10849528       -1.10849528       -1.10849528
         6.0       -1.05121276       -1.00000000       -1.00000000       -1.00000000
         7.0       -0.96382897       -0.90753645       -0.90753645       -0.90753645
         8.0       -0.88795567       -0.82842712       -0.82842712       -0.82842712
         9.0       -0.82170427       -0.76039864       -0.76039864       -0.76039864
        10.0       -0.76354453       -0.70156212       -0.70156212       -0.70156212
        11.0       -0.71222749       -0.65036763       -0.65036763       -0.65036763
        12.0       -0.66672328       -0.60555128       -0.60555128       -0.60555128
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.41421356       -1.41421356       -1.41421356       -1.41421356
         1.0       -1.18081638       -1.18480355       -1.18480355       -1.18480355
         2.0       -0.98087828       -0.99512590       -0.99512590       -0.99512590
         3.0       -0.81447790       -0.84127178       -0.84127178       -0.84127178
         4.0       -0.68014166       -0.71791138       -0.71791138       -0.71791138
         5.0       -0.57420668       -0.61940028       -0.61940028       -0.61940028
         6.0       -0.49157353       -0.54055767       -0.54055767       -0.54055767
         7.0       -0.42701872       -0.47703095       -0.47703095       -0.47703095
         8.0       -0.37607903       -0.42535625       -0.42535625       -0.42535625
         9.0       -0.33530162       -0.38286158       -0.38286158       -0.38286158
        10.0       -0.30214434       -0.34751768       -0.34751768       -0.34751768
        11.0       -0.27476660       -0.31779146       -0.31779146       -0.31779146
        12.0       -0.25183727       -0.29252304       -0.29252304       -0.29252304
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -2.00000000       -2.00000000       -2.00000000       -2.00000000
         1.0       -1.76892585       -1.76556444       -1.76556444       -1.76556444
         2.0       -1.57367498       -1.56155281       -1.56155281       -1.56155281
         3.0       -1.40938789       -1.38600094       -1.38600094       -1.38600094
         4.0       -1.27058372       -1.23606798       -1.23606798       -1.23606798
         5.0       -1.15246673       -1.10849528       -1.10849528       -1.10849528
         6.0       -1.05121276       -1.00000000       -1.00000000       -1.00000000
         7.0       -0.96382897       -0.90753645       -0.90753645       -0.90753645
         8.0       -0.88795567       -0.82842712       -0.82842712       -0.82842712
         9.0       -0.82170427       -0.76039864       -0.76039864       -0.76039864
        10.0       -0.76354453       -0.70156212       -0.70156212       -0.70156212
        11.0       -0.71222749       -0.65036763       -0.65036763       -0.65036763
        12.0       -0.66672328       -0.60555128       -0.60555128       -0.60555128
     # nsite              nimp            doping  
          #                  8                 2                0 
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.41421356       -1.41421356       -1.41421356       -1.41421356
         1.0       -1.18081638       -1.18480355       -1.18480355       -1.18480355
         2.0       -0.98087828       -0.99512590       -0.99512590       -0.99512590
         3.0       -0.81447790       -0.84127178       -0.84127178       -0.84127178
         4.0       -0.68014166       -0.71791138       -0.71791138       -0.71791138
         5.0       -0.57420668       -0.61940028       -0.61940028       -0.61940028
         6.0       -0.49157353       -0.54055767       -0.54055767       -0.54055767
         7.0       -0.42701872       -0.47703095       -0.47703095       -0.47703095
         8.0       -0.37607903       -0.42535625       -0.42535625       -0.42535625
         9.0       -0.33530162       -0.38286158       -0.38286158       -0.38286158
        10.0       -0.30214434       -0.34751768       -0.34751768       -0.34751768
        11.0       -0.27476660       -0.31779146       -0.31779146       -0.31779146
        12.0       -0.25183727       -0.29252304       -0.29252304       -0.29252304
