 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
         3.0        0.13955177        0.15112233        0.15088775        0.15085333
         4.0        0.10408493        0.12124284        0.12070986        0.12052540
         5.0        0.07763956        0.09573754        0.09492022        0.09441763
         6.0        0.05925591        0.07531428        0.07434323        0.07343213
         7.0        0.04637889        0.05960775        0.05862102        0.05735426
         8.0        0.03712077        0.04773879        0.04682232        0.04534225
         9.0        0.03028821        0.03878262        0.03797160        0.03642362
        10.0        0.02512673        0.03197064        0.03126973        0.02975619
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
         3.0        0.13955177        0.15112233        0.15088775        0.15085333
         4.0        0.10408493        0.12124284        0.12070986        0.12052540
         5.0        0.07763956        0.09573754        0.09492022        0.09441763
         6.0        0.05925591        0.07531428        0.07434323        0.07343213
         7.0        0.04637889        0.05960775        0.05862102        0.05735426
         8.0        0.03712077        0.04773879        0.04682232        0.04534225
         9.0        0.03028821        0.03878262        0.03797160        0.03642362
        10.0        0.02512673        0.03197064        0.03126973        0.02975619
        11.0        0.02114672        0.02672429        0.02612422        0.02470116
        12.0        0.01802151        0.02262579        0.02211279        0.02080353
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
         3.0        0.13955177        0.15112233        0.15088775        0.15085333
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
         3.0        0.13955177        0.15112233        0.15088775        0.15085333
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0        0.25000000        0.25000000        0.25000000        0.25000000
         1.0        0.21573778        0.21685410        0.21684933        0.21684960
         2.0        0.17887406        0.18360737        0.18355054        0.18354967
         3.0        0.13955177        0.15112233        0.15088775        0.15085333
         4.0        0.10408493        0.12124284        0.12070986        0.12052540
         5.0        0.07763956        0.09573754        0.09492022        0.09441763
         6.0        0.05925591        0.07531428        0.07434323        0.07343213
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0        0.10408493        0.12124284        0.12071312        0.12052067
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0        0.10408493        0.12124284        0.12071312        0.12052067
