 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
         3.0       -0.70460602       -0.70417046       -0.70777614       -0.70824457
         4.0       -0.58343209       -0.57679297       -0.58203978       -0.58361803
         5.0       -0.49334395       -0.47893573       -0.48552379       -0.48895255
         6.0       -0.42545578       -0.40469121       -0.41223400       -0.41807192
         7.0       -0.37300615       -0.34816564       -0.35628130       -0.36467375
         8.0       -0.33149934       -0.30451833       -0.31289011       -0.32353803
         9.0       -0.29796045       -0.27017282       -0.27857037       -0.29091835
        10.0       -0.27036905       -0.24260899       -0.25088056       -0.26434286
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
         3.0       -0.70460602       -0.70417046       -0.70777614       -0.70824457
         4.0       -0.58343209       -0.57679297       -0.58203978       -0.58361803
         5.0       -0.49334395       -0.47893573       -0.48552379       -0.48895255
         6.0       -0.42545578       -0.40469121       -0.41223400       -0.41807192
         7.0       -0.37300615       -0.34816564       -0.35628130       -0.36467375
         8.0       -0.33149934       -0.30451833       -0.31289011       -0.32353803
         9.0       -0.29796045       -0.27017282       -0.27857037       -0.29091835
        10.0       -0.27036905       -0.24260899       -0.25088056       -0.26434286
        11.0       -0.24731493       -0.22007347       -0.22812711       -0.24221428
        12.0       -0.22779215       -0.20133918       -0.20912429       -0.22347348
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
         3.0       -0.70460602       -0.70417046       -0.70777614       -0.70824457
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
         3.0       -0.70460602       -0.70417046       -0.70777614       -0.70824457
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.06210147       -1.06262973       -1.06259915
         2.0       -0.86384157       -0.86535318       -0.86724516       -0.86726623
         3.0       -0.70460602       -0.70417046       -0.70777614       -0.70824457
         4.0       -0.58343209       -0.57679297       -0.58203978       -0.58361803
         5.0       -0.49334395       -0.47893573       -0.48552379       -0.48895255
         6.0       -0.42545578       -0.40469121       -0.41223400       -0.41807192
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0       -0.58343209       -0.57679297       -0.58204104       -0.58362145
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0       -0.58343209       -0.57679297       -0.58204104       -0.58362145
