 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.04727411       -1.04727460
         2.0       -0.86384157       -0.85148266       -0.80577647       -0.80577506
         3.0       -0.70460602       -0.67250214       -0.56978775       -0.56971258
         4.0       -0.58343209       -0.52023533       -0.33897973       -0.33850873
         5.0       -0.49334395       -0.39162096       -0.11279751       -0.11114872
         6.0       -0.42545578       -0.28257583        0.10948495        0.11360014
         7.0       -0.37300615       -0.18892513        0.32863366        0.33674059
         8.0       -0.33149934       -0.10705424        0.54533980        0.55871327
         9.0       -0.29796045       -0.03411788        0.76016787        0.77948485
        10.0       -0.27036905        0.03201949        0.97355402        0.99888219
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
         3.0       -0.70460602       -0.67250214       -0.67261352       -0.67262718
         4.0       -0.58343209       -0.52023533       -0.52081963       -0.52105321
         5.0       -0.49334395       -0.39162096       -0.39327548       -0.39464866
         6.0       -0.42545578       -0.28257583       -0.28591076       -0.29070408
         7.0       -0.37300615       -0.18892513       -0.19437485       -0.20637545
         8.0       -0.33149934       -0.10705424       -0.11483555       -0.13860571
         9.0       -0.29796045       -0.03411788       -0.04427929       -0.08405967
        10.0       -0.27036905        0.03201949        0.01953182       -0.03952525
        11.0       -0.24731493        0.09293143        0.07822295       -0.00234345
        12.0       -0.22779215        0.14977517        0.13297128        0.02947597
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
         3.0       -0.70460602       -0.67250214       -0.67261352       -0.67262718
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
         3.0       -0.70460602       -0.67250214       -0.67261352       -0.67262718
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0       -1.29442719       -1.29442719       -1.29442719       -1.29442719
         1.0       -1.06144072       -1.05868367       -1.05868271       -1.05868285
         2.0       -0.86384157       -0.85148266       -0.85148472       -0.85148473
         3.0       -0.70460602       -0.67250214       -0.67261352       -0.67262718
         4.0       -0.58343209       -0.52023533       -0.52081963       -0.52105321
         5.0       -0.49334395       -0.39162096       -0.39327548       -0.39464866
         6.0       -0.42545578       -0.28257583       -0.28591076       -0.29070408
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0       -0.58343209       -0.52023533       -0.52081336       -0.52106256
 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         4.0       -0.58343209       -0.52023533       -0.52081336       -0.52106256
