 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0               nan        0.34027778        0.34027778        0.34027778
         1.0               nan        0.31019387        0.31019625        0.31019544
         2.0               nan        0.28194002        0.28195292        0.28194856
         3.0               nan        0.25649086        0.25650687        0.25650140
         4.0               nan        0.23498434        0.23497291        0.23497325
         5.0               nan        0.21799148        0.21792075        0.21792645
         6.0               nan        0.20522197        0.20506980        0.20507101
         7.0               nan        0.19587350        0.19562205        0.19560649
         8.0               nan        0.18907697        0.18871381        0.18867220
         9.0               nan        0.18411381        0.18364103        0.18357070
        10.0               nan        0.18045282        0.17989166        0.17979857
        11.0               nan        0.17771840        0.17710369        0.17699940
        12.0               nan        0.17564861        0.17501744        0.17491326
