 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0               nan       -1.06630023       -1.06630023       -1.06630023
         1.0               nan       -0.78865769       -0.78936980       -0.78912787
         2.0               nan       -0.53783466       -0.54063575       -0.53968096
         3.0               nan       -0.31127547       -0.31723438       -0.31530835
         4.0               nan       -0.10522190       -0.11486989       -0.11208812
         5.0               nan        0.08484343        0.07163915        0.07480377
         6.0               nan        0.26319117        0.24719838        0.25011813
         7.0               nan        0.43318426        0.41560904        0.41777556
         8.0               nan        0.59721669        0.57942647        0.58063082
         9.0               nan        0.75693135        0.74018152        0.74051172
        10.0               nan        0.91345517        0.89867540        0.89836343
        11.0               nan        1.06757335        1.05527082        1.05452902
        12.0               nan        1.21984454        1.21014490        1.20910449
