 # Hubbard-U             Exact           Oneshot             PDMET         Brueckner
         0.0               nan       -1.06630023       -1.06630023       -1.06630023
         1.0               nan       -0.78621282       -0.78620806       -0.78620984
         2.0               nan       -0.52840239       -0.52832707       -0.52835602
         3.0               nan       -0.29065617       -0.29029765       -0.29043407
         4.0               nan       -0.06927124       -0.06823923       -0.06861801
         5.0               nan        0.14047279        0.14267952        0.14190880
         6.0               nan        0.34313058        0.34687985        0.34561927
         7.0               nan        0.54223130        0.54738504        0.54560761
         8.0               nan        0.74014493        0.74578690        0.74345392
         9.0               nan        0.93832865        0.94274196        0.93970332
        10.0               nan        1.13761505        1.13846950        1.13446320
        11.0               nan        1.33843244        1.33305971        1.32779441
        12.0               nan        1.54095631        1.52660896        1.51983378
