# --- Lattice vectors
24.630000000   0.000000000   0.000000000
12.315000000  21.330000000   0.000000000
 0.000000000   0.000000000  30.000000000
# --- Atoms
# NO2
6.157500000 2.844000000  20.671823770
7.236352910 2.844000000  20.000000000
5.078647080 2.844000000  20.000000000
# Graphene
0.000000000 0.000000000 17.000000000
1.231500000 2.133000000 17.000000000
2.463000000 4.266000000 17.000000000
3.694500000 6.399000000 17.000000000
4.926000000 8.532000000 17.000000000
6.157500000 10.665000000 17.000000000
7.389000000 12.798000000 17.000000000
8.620500000 14.931000000 17.000000000
9.852000000 17.064000000 17.000000000
11.083500000 19.197000000 17.000000000
2.463000000 0.000000000 17.000000000
3.694500000 2.133000000 17.000000000
4.926000000 4.266000000 17.000000000
6.157500000 6.399000000 17.000000000
7.389000000 8.532000000 17.000000000
8.620500000 10.665000000 17.000000000
9.852000000 12.798000000 17.000000000
11.083500000 14.931000000 17.000000000
12.315000000 17.064000000 17.000000000
13.546500000 19.197000000 17.000000000
4.926000000 0.000000000 17.000000000
6.157500000 2.133000000 17.000000000
7.389000000 4.266000000 17.000000000
8.620500000 6.399000000 17.000000000
9.852000000 8.532000000 17.000000000
11.083500000 10.665000000 17.000000000
12.315000000 12.798000000 17.000000000
13.546500000 14.931000000 17.000000000
14.778000000 17.064000000 17.000000000
16.009500000 19.197000000 17.000000000
7.389000000 0.000000000 17.000000000
8.620500000 2.133000000 17.000000000
9.852000000 4.266000000 17.000000000
11.083500000 6.399000000 17.000000000
12.315000000 8.532000000 17.000000000
13.546500000 10.665000000 17.000000000
14.778000000 12.798000000 17.000000000
16.009500000 14.931000000 17.000000000
17.241000000 17.064000000 17.000000000
18.472500000 19.197000000 17.000000000
9.852000000 0.000000000 17.000000000
11.083500000 2.133000000 17.000000000
12.315000000 4.266000000 17.000000000
13.546500000 6.399000000 17.000000000
14.778000000 8.532000000 17.000000000
16.009500000 10.665000000 17.000000000
17.241000000 12.798000000 17.000000000
18.472500000 14.931000000 17.000000000
19.704000000 17.064000000 17.000000000
20.935500000 19.197000000 17.000000000
12.315000000 0.000000000 17.000000000
13.546500000 2.133000000 17.000000000
14.778000000 4.266000000 17.000000000
16.009500000 6.399000000 17.000000000
17.241000000 8.532000000 17.000000000
18.472500000 10.665000000 17.000000000
19.704000000 12.798000000 17.000000000
20.935500000 14.931000000 17.000000000
22.167000000 17.064000000 17.000000000
23.398500000 19.197000000 17.000000000
14.778000000 0.000000000 17.000000000
16.009500000 2.133000000 17.000000000
17.241000000 4.266000000 17.000000000
18.472500000 6.399000000 17.000000000
19.704000000 8.532000000 17.000000000
20.935500000 10.665000000 17.000000000
22.167000000 12.798000000 17.000000000
23.398500000 14.931000000 17.000000000
24.630000000 17.064000000 17.000000000
25.861500000 19.197000000 17.000000000
17.241000000 0.000000000 17.000000000
18.472500000 2.133000000 17.000000000
19.704000000 4.266000000 17.000000000
20.935500000 6.399000000 17.000000000
22.167000000 8.532000000 17.000000000
23.398500000 10.665000000 17.000000000
24.630000000 12.798000000 17.000000000
25.861500000 14.931000000 17.000000000
27.093000000 17.064000000 17.000000000
28.324500000 19.197000000 17.000000000
19.704000000 0.000000000 17.000000000
20.935500000 2.133000000 17.000000000
22.167000000 4.266000000 17.000000000
23.398500000 6.399000000 17.000000000
24.630000000 8.532000000 17.000000000
25.861500000 10.665000000 17.000000000
27.093000000 12.798000000 17.000000000
28.324500000 14.931000000 17.000000000
29.556000000 17.064000000 17.000000000
30.787500000 19.197000000 17.000000000
22.167000000 0.000000000 17.000000000
23.398500000 2.133000000 17.000000000
24.630000000 4.266000000 17.000000000
25.861500000 6.399000000 17.000000000
27.093000000 8.532000000 17.000000000
28.324500000 10.665000000 17.000000000
29.556000000 12.798000000 17.000000000
30.787500000 14.931000000 17.000000000
32.019000000 17.064000000 17.000000000
33.250500000 19.197000000 17.000000000
0.000000000 1.422000000 17.000000000
1.231500000 3.555000000 17.000000000
2.463000000 5.688000000 17.000000000
3.694500000 7.821000000 17.000000000
4.926000000 9.954000000 17.000000000
6.157500000 12.087000000 17.000000000
7.389000000 14.220000000 17.000000000
8.620500000 16.353000000 17.000000000
9.852000000 18.486000000 17.000000000
11.083500000 20.619000000 17.000000000
2.463000000 1.422000000 17.000000000
3.694500000 3.555000000 17.000000000
4.926000000 5.688000000 17.000000000
6.157500000 7.821000000 17.000000000
7.389000000 9.954000000 17.000000000
8.620500000 12.087000000 17.000000000
9.852000000 14.220000000 17.000000000
11.083500000 16.353000000 17.000000000
12.315000000 18.486000000 17.000000000
13.546500000 20.619000000 17.000000000
4.926000000 1.422000000 17.000000000
6.157500000 3.555000000 17.000000000
7.389000000 5.688000000 17.000000000
8.620500000 7.821000000 17.000000000
9.852000000 9.954000000 17.000000000
11.083500000 12.087000000 17.000000000
12.315000000 14.220000000 17.000000000
13.546500000 16.353000000 17.000000000
14.778000000 18.486000000 17.000000000
16.009500000 20.619000000 17.000000000
7.389000000 1.422000000 17.000000000
8.620500000 3.555000000 17.000000000
9.852000000 5.688000000 17.000000000
