# Neopentane B3LYP//aug-cc-pVTZ
# Atom	X	Y	Z
C	0.0000000	0.0000000	0.0000000
C	0.8868390	0.8868390	0.8868390
C	-0.8868390	-0.8868390	0.8868390
C	-0.8868390	0.8868390	-0.8868390
C	0.8868390	-0.8868390	-0.8868390
H	1.5295970	0.2819530	1.5295970
H	1.5295970	1.5295970	0.2819530
H	0.2819530	1.5295970	1.5295970
H	-1.5295970	-1.5295970	0.2819530
H	-0.2819530	-1.5295970	1.5295970
H	-1.5295970	-0.2819530	1.5295970
H	-1.5295970	0.2819530	-1.5295970
H	-1.5295970	1.5295970	-0.2819530
H	-0.2819530	1.5295970	-1.5295970
H	1.5295970	-1.5295970	-0.2819530
H	0.2819530	-1.5295970	-1.5295970
H	1.5295970	-0.2819530	-1.5295970
